,client_fk,client_name,onboarded_date,case_receiving_date,client_source,total_case,Within_TAT,tat_breach
29132,2782,Apex Diagno Solution,2022-09-20,2024-10-12,,4,4,0
29145,3813,New Marvel Healthcare & Diagnostics,2024-09-13,2024-10-25,Rajendra Prasad and Nithin Bharadhwaj,3,3,0
29149,2993,Sri Vijayendhar Reddy Hospital,2023-03-23,2024-10-30,,1,1,0
29175,1667,Harugeri CT Scan Centre,2021-01-26,2024-10-17,,2,2,0
29197,3653,The Bio Clinical Laboratory,2024-04-25,2024-10-30,Anthony Chethan,2,2,0
29211,2265,Vardhman Diagnostics Pvt. Ltd.,2021-10-12,2024-10-13,,11,11,0
29216,1539,HTS Digital X-ray - U2,2020-10-29,2024-11-03,,2,2,0
29223,3810,Pratham MRI And CT Scan Centre,2024-09-12,2024-10-24,Anamika Kumari and Nikhil Hugar,1,0,1
29249,3322,Insight Medical Diagnostic,2023-08-28,2024-11-06,Nikhil Hugar,2,2,0
29256,3784,Guru Hospital,2024-08-23,2024-10-27,Apoorv L Salehittal,3,0,3
29264,3549,Neuberg Ehrlich Laboratory Pvt Ltd Puducherry,2024-01-31,2024-10-15,Vaishak Shivadasan,1,1,0
29273,3791,Nidan Prime Scan Centre - A Venture Of Sgla Imaging llp,2024-08-30,2024-11-05,Anamika Kumari and Nikhil Hugar,2,2,0
29281,3870,Star Imaging Centre - Udaipur,2024-10-26,2024-11-05,Apoorv L Salehittal,2,2,0
29288,1954,Patidar Diagnostic,2021-06-16,2024-11-02,,1,1,0
29334,3444,Dharamsheela Devi Multispeciality Hospital,2023-10-19,2024-11-10,Mahesh  Salian,1,0,1
29449,3863,Prime Scans And Diagnostics,2024-10-30,2024-10-31,Jaya Mohan and Akash Poovathingal,5,5,0
29484,3005,Cosmos Health Care,2023-03-30,2024-10-27,5C Admin (Sathish),1,0,1
29497,3829,Pooja Multislice CT Scan Centre,2024-09-26,2024-10-16,Deepak Yadav and Saravan Choudhary,1,1,0
29515,3672,Rajanna CT Scan Center - Sircilla,2024-07-25,2024-10-31,Mahesh Salian,4,4,0
29517,3549,Neuberg Ehrlich Laboratory Pvt Ltd Puducherry,2024-01-31,2024-11-09,Vaishak Shivadasan,1,1,0
29548,1667,Harugeri CT Scan Centre,2021-01-26,2024-10-22,,1,1,0
29571,2468,Rohini Diagnostics Scan Centre,2022-01-08,2024-10-31,,1,1,0
29620,3661,VKC Smarak Multi-Speciality Hospital,2024-04-30,2024-10-25,Mahesh Salian,1,1,0
29647,3447,Bansal Hospital Sagar,2023-10-20,2024-10-31,Mahesh Salian,1,1,0
29648,2054,Imperial Hospital,2021-08-07,2024-10-19,,7,7,0
29654,3673,Tambo Salud,2024-05-09,2024-10-22,Vaishak Shivadasan,2,2,0
29704,2571,21st Century Hospital,2022-04-14,2024-10-17,,9,9,0
29718,3704,Neuberg Supratech Inspire Diagnostics LLP - Raipur,2024-07-09,2024-10-18,Mahesh Salian,2,2,0
29721,2160,VK Medical Centre,2021-09-02,2024-10-23,Amith,2,2,0
29734,3730,Yashashvi Hospital,2024-08-01,2024-10-15,Sunil,1,1,0
29829,2471,Satyadev Multispeciality Hospital,2022-01-10,2024-10-19,,1,1,0
29926,3843,Unique Sonography & Orthocare - Nashik,2024-10-05,2024-10-23,Anamika Kumari and Nikhil Hugar,3,3,0
29952,2835,Kaya Health Care,2022-11-09,2024-10-12,,2,2,0
29996,1132,Medcare Diagnostic,2019-02-09,2024-10-31,,1,1,0
30023,3779,Satva Hospital,2024-08-21,2024-10-18,Deepak Yadav and Saravan Choudhary,1,1,0
30038,2459,Agarwal Nursing Home,2022-01-03,2024-10-22,,4,2,2
30061,3595,SreeNagar Diagnostics,2024-03-07,2024-11-08,Vaishak Shivadasan,2,1,1
30062,2265,Vardhman Diagnostics Pvt. Ltd.,2021-10-12,2024-10-17,,3,3,0
30112,350,Sehgal Neo Hospital,2019-09-18,2024-10-30,,68,36,32
30144,3777,Roy X-Ray Clinic,2024-08-21,2024-10-17,Sandipan Das and Mukta Nandi,1,0,1
30174,3139,National Diagnostic Pathology And Digital Xray,2023-05-24,2024-10-23,Rajendra Prasad,1,1,0
30178,2296,Sai Srinivasa Diagnostics,2021-10-26,2024-10-23,,1,1,0
30193,3844,Bhardwaj Hospital - Himachal Pradesh,2024-10-05,2024-11-07,Anil Kumar and Saravan Choudhary,1,1,0
30207,2441,Ohm Muruga Hospital,2021-12-21,2024-10-26,,1,1,0
30213,1892,Goalpara Sonoscan Centre,2021-05-05,2024-10-16,,5,4,1
30303,3687,Bhole Vighnaharta Multi Speciality Hospital Parola,2024-06-07,2024-10-26,Nikhil Hugar,3,3,0
30306,1890,Narmada Apna Hospital,2021-05-05,2024-10-13,,7,7,0
30322,2468,Rohini Diagnostics Scan Centre,2022-01-08,2024-11-04,,6,4,2
30325,1506,Krishna Hospital & Research Center,2020-10-09,2024-10-26,,1,1,0
30336,3101,Jupiter Hospital,2023-05-10,2024-10-16,Ajith Jose Moonjely,20,0,0
30338,2844,Prakhar High Tech CT Scan,2022-11-21,2024-10-30,,2,2,0
30350,2782,Apex Diagno Solution,2022-09-20,2024-10-29,,1,1,0
30368,3536,Shrinivas (G) Educational & Research Institute of  Medical Sciences,2024-05-17,2024-11-01,Mahesh Salian,4,4,0
30413,2343,Shree Nursinh Diagnostic Center,2021-11-15,2024-10-21,,1,0,1
30418,3833,Sarthi Diagnostics,2024-09-30,2024-11-04,Deepak Yadav and Saravan Choudhary,2,1,1
30432,3322,Insight Medical Diagnostic,2023-08-28,2024-10-28,Nikhil Hugar,6,5,1
30475,1032,Camberwell Diagnostic Center,2024-09-13,2024-10-12,Nikhil Hugar,1,1,0
30504,2839,Eskag Sanjeevani Multispecialty Hospital - Baranagar,2022-11-11,2024-10-20,,14,14,0
30554,1890,Narmada Apna Hospital,2021-05-05,2024-10-18,,7,7,0
30555,2393,Camry Hospital,2021-12-02,2024-10-28,,2,2,0
30664,2207,Raj Scans - Dindigul,2021-09-18,2024-10-28,,1,0,1
30699,3310,Raksha  Health Care,2023-08-18,2024-11-04,Amith,1,1,0
30765,1372,Ebisu Diagnostics - Dasarhalli,2020-06-06,2024-10-31,,1,0,1
30787,3256,NKG Diagnostic,2023-07-08,2024-10-21,5C Admin (Dhiren Lohar),3,2,1
30791,2370,A to Z Multispeciality Hospital,2021-11-26,2024-11-01,,4,4,0
30835,3610,Radiant Diagnostic Centre Bhavnagar,2024-03-20,2024-10-13,Mahesh Salian,1,0,1
30876,2638,Life Care Health Diagnostic - Karwar,2022-05-25,2024-11-01,,2,2,0
30882,1852,Target Diagnostics And Imaging center,2021-04-21,2024-11-07,,1,0,1
30916,3217,CRH ENT MRI And Diagnostics,2023-06-03,2024-11-01,5C Admin (Vaishak),3,2,1
30929,2607,Subuhani Diagnostic Center,2022-05-10,2024-10-14,,1,0,1
30930,2193,Grand CT Scans,2021-09-15,2024-11-05,,1,1,0
30942,2737,Safe Diagnostic,2022-07-25,2024-11-02,,1,1,0
30955,3735,Gokul Diagnostic - Bangalore,2024-07-27,2024-11-06,Sunil,1,1,0
30968,3833,Sarthi Diagnostics,2024-09-30,2024-11-10,Deepak Yadav and Saravan Choudhary,2,0,2
30983,2856,Sattva Diagnostics,2022-12-07,2024-11-07,,6,6,0
31010,2587,CK Medical Center Hospital,2022-04-28,2024-10-20,,2,2,0
31064,1037,Jupiter Lifeline Hospital,2019-05-22,2024-11-02,,2,0,2
31065,3705,Dorika Hospital - Assam,2024-06-28,2024-10-20,Mahesh Salian,4,4,0
31067,655,Sahasra Hospital,2018-06-23,2024-11-06,,2,2,0
31079,3293,San Camilo,2021-10-20,2024-10-18,Vaishak Shivadasan,16,14,2
31080,3834,Medray Evo,2024-09-30,2024-10-15,,1,1,0
31155,2137,Anirish Orthopedic Clinic,2021-08-25,2024-11-06,,1,1,0
31234,2856,Sattva Diagnostics,2022-12-07,2024-11-02,,2,2,0
31245,1597,DMR Polyclinic,2020-12-10,2024-10-14,,2,1,1
31260,3548,Lisie Hospital,2024-01-30,2024-10-17,Vaishak Shivadasan,4,0,4
31262,2980,Shanmuga Hospital Private Ltd.,2023-03-14,2024-10-13,,2,0,2
31266,3614,Arekere Life Care Diagnostics & Multispeciality Clinic,2024-03-25,2024-11-03,Podugu Bhanuprakash,5,5,0
31296,1621,Sri Mamata Diagnostic centre,2021-01-01,2024-11-09,,3,3,0
31322,3467,Ashirwad Clinic And Diagnostic Centre ,2023-11-21,2024-10-24,Nikhil Hugar,1,1,0
31328,3426,Dr. Das Multispeciality Hospital,2023-09-25,2024-10-20,Mahesh,3,3,0
31347,655,Sahasra Hospital,2018-06-23,2024-11-05,,4,1,3
31354,866,Gadhinglaj Scan And Diagnostic Centre,2019-03-02,2024-11-10,,1,0,1
31371,3210,B & B Memorial Hospital,2023-05-31,2024-10-14,5C Admin (Vaishak),1,0,1
31377,1016,Sindhura Hospitals,2018-11-06,2024-10-14,,4,4,0
31390,3722,Agrawal Diagnostic Centre LLP,2024-10-03,2024-10-21,Anamika Kumari and Nikhil Hugar,4,3,1
31398,760,Micro Digital X-ray And Lab,2020-01-17,2024-10-18,,2,2,0
31419,2782,Apex Diagno Solution,2022-09-20,2024-11-08,,2,2,0
31450,3705,Dorika Hospital - Assam,2024-06-28,2024-10-19,Mahesh Salian,1,1,0
31512,3800,Cadabams Megsan Diagnostics,2024-09-05,2024-11-02,Nithin Bharadhwaj and Joel Elijah,1,1,0
31518,2844,Prakhar High Tech CT Scan,2022-11-21,2024-10-21,,1,0,1
31557,106,Focus Diagnostics Center - Rajajinagar,2017-05-01,2024-11-10,,5,0,5
31584,2357,Legit Medical Diagnostics & Poly Clinic,2021-11-19,2024-10-21,,1,1,0
31645,2178,Arogya Hospital - Delhi,2024-06-21,2024-10-12,Akshat Misra and Nikhil Hugar,3,2,1
31660,315,Ebisu Diagnostic Centre,2016-10-12,2024-11-08,,7,4,3
31695,3820,PCD Diagnostics LLP,2024-09-23,2024-10-22,Anamika Kumari and Nikhil Hugar,3,2,1
31704,3672,Rajanna CT Scan Center - Sircilla,2024-07-25,2024-10-17,Mahesh Salian,4,4,0
31706,2406,Patna Diagnostic Center,2021-12-09,2024-11-07,Joel Elijah,4,4,0
31737,3795,Gunjan Diagnostic,2024-09-03,2024-11-10,Nikhil Hugar,7,2,5
31749,2441,Ohm Muruga Hospital,2021-12-21,2024-10-15,,1,1,0
31792,350,Sehgal Neo Hospital,2019-09-18,2024-10-28,,55,45,10
31823,3131,Eskag Sanjeevani Pvt. Ltd. (Super Specialty Hospital - Balurghat),2023-05-22,2024-10-14,5C Admin (Amith),6,0,6
31833,3855,Sambhav Upleta Diagnostic Center - Porbandar,2024-10-12,2024-10-16,Deepak Yadav and Saravan Choudhary,3,3,0
31873,255,JJ Digital X-ray Lab & ECG Services - Thambaram,2019-05-04,2024-11-09,,1,1,0
31890,2441,Ohm Muruga Hospital,2021-12-21,2024-10-24,,1,1,0
31952,866,Gadhinglaj Scan And Diagnostic Centre,2019-03-02,2024-10-23,,1,1,0
31967,778,Pen CT & MRI Scan Center,2019-02-02,2024-10-17,,1,1,0
32020,3491,Mahisagar Imaging Center,2023-12-19,2024-11-01,Nikhil Hugar,5,4,1
32026,2420,Meditech Diagnostic Centre,2021-12-15,2024-10-18,,1,1,0
32052,3065,Santhosh Nursing Home Multi Speciality Hospital,2023-04-29,2024-11-03,5C Admin (Sathish),2,2,0
32062,2638,Life Care Health Diagnostic - Karwar,2022-05-25,2024-10-17,,1,1,0
32074,3447,Bansal Hospital Sagar,2023-10-20,2024-10-23,Mahesh Salian,12,9,3
32076,3733,A R Diagnostics,2024-08-22,2024-11-06,Joel Elijah,1,1,0
32086,3653,The Bio Clinical Laboratory,2024-04-25,2024-11-04,Anthony Chethan,5,4,1
32103,2980,Shanmuga Hospital Private Ltd.,2023-03-14,2024-10-17,,2,2,0
32109,2902,Shree Clinical Laboratory,2024-05-16,2024-11-03,Joel Elijah,2,2,0
32114,751,Aditya Criticare Pvt. Ltd.,2019-02-16,2024-10-16,,1,1,0
32141,1892,Goalpara Sonoscan Centre,2021-05-05,2024-10-18,,3,3,0
32203,949,Pulse Diagnostics Pvt. Ltd. - Behala,2018-03-06,2024-10-14,,2,1,1
32208,3289,Vardaan Diagnostics,2023-08-10,2024-10-14,Abhilash,1,1,0
32221,3811,Annai Amaravathi CT Scan & Lab - Tirunelveli,2024-09-13,2024-10-12,Ayyappan Nagarajan and Balaganesh A,1,1,0
32246,2393,Camry Hospital,2021-12-02,2024-10-20,,2,2,0
32329,2406,Patna Diagnostic Center,2021-12-09,2024-10-21,Joel Elijah,2,2,0
32339,2027,Taraiya Digital X-ray,2021-07-30,2024-10-23,,2,1,1
32349,3521,Neuberg Bose Laboratories Pvt Ltd,2024-01-10,2024-10-12,Sathish Jalari,1,1,0
32369,3784,Guru Hospital,2024-08-23,2024-11-07,Apoorv L Salehittal,4,2,2
32374,3733,A R Diagnostics,2024-08-22,2024-10-22,Joel Elijah,1,0,1
32384,618,Lotus Diagnostic - AS,2020-02-10,2024-10-25,,1,1,0
32401,3626,Hastha CT Scan,2024-04-02,2024-11-03,Mahesh Kumar G,1,1,0
32413,1145,Sri Vaishnavi Diagnostics And Scanning Centre,2019-01-29,2024-10-30,,1,1,0
32448,1372,Ebisu Diagnostics - Dasarhalli,2020-06-06,2024-10-23,,3,2,1
32464,2419,Shri Krishna  X-ray,2021-12-14,2024-10-14,,1,1,0
32476,2296,Sai Srinivasa Diagnostics,2021-10-26,2024-10-13,,1,1,0
32481,3133,BRS Hospital - Unit Of Neuberg,2023-05-22,2024-10-28,5C Admin (Sathish),1,1,0
32489,399,Yenepoya Specialty Hospital,2016-11-07,2024-10-12,,2,1,1
32546,1027,The Pariseba X-ray,2020-01-05,2024-11-10,,1,0,1
32596,428,Shishudeep Hospital,2019-01-23,2024-11-04,,2,2,0
32659,3813,New Marvel Healthcare & Diagnostics,2024-09-13,2024-10-19,Rajendra Prasad and Nithin Bharadhwaj,2,2,0
32679,1754,Sri Sai Hospital - HBR Layout,2021-03-19,2024-10-26,,1,0,1
32708,2193,Grand CT Scans,2021-09-15,2024-10-28,,1,1,0
32769,2784,Mahasati Parvesh Kumari Jain Charitable Society Hospital,2022-09-23,2024-10-23,,5,5,0
32801,1041,Sreema X-ray,2018-09-30,2024-10-30,,3,3,0
32812,1642,HBS Hospital,2021-01-13,2024-10-12,,2,2,0
32816,3533,Maitreya Hospital,2024-01-20,2024-11-04,Mahesh Salian,1,0,1
32829,3735,Gokul Diagnostic - Bangalore,2024-07-27,2024-10-26,Sunil,1,1,0
32844,3474,Hindusthan Hospital,2023-11-24,2024-10-12,Amith,2,2,0
32917,2835,Kaya Health Care,2022-11-09,2024-10-14,,1,1,0
32947,3784,Guru Hospital,2024-08-23,2024-10-17,Apoorv L Salehittal,6,6,0
32996,2561,Gowri Maheshwara Scan Centre,2022-04-04,2024-10-24,,1,1,0
33108,3322,Insight Medical Diagnostic,2023-08-28,2024-10-12,Nikhil Hugar,9,9,0
33145,2393,Camry Hospital,2021-12-02,2024-10-24,,1,1,0
33226,1223,Pinarc Health Imaging CT Scan Centre,2024-05-22,2024-10-26,Nikhil Hugar,2,0,2
33228,1041,Sreema X-ray,2018-09-30,2024-10-15,,2,2,0
33239,1642,HBS Hospital,2021-01-13,2024-10-29,,3,1,2
33242,2742,RV Kani Lab,2022-08-01,2024-11-04,,3,3,0
33247,1851,Life Line Diagnostics Centre,2021-04-19,2024-10-29,,1,1,0
33290,2420,Meditech Diagnostic Centre,2021-12-15,2024-10-24,,2,2,0
33303,2897,Adarsh Nursing Home,2024-06-24,2024-10-23,Rajendra Prasad,3,3,0
33304,106,Focus Diagnostics Center - Rajajinagar,2017-05-01,2024-11-02,,8,6,2
33354,2208,AR Raheman Multispecialty Hospital,2021-09-20,2024-10-31,,2,2,0
33365,1372,Ebisu Diagnostics - Dasarhalli,2020-06-06,2024-10-27,,4,3,1
33398,3586,Arogyadhama Multi Specialty Day Care & Diagnosis Services,2024-02-23,2024-11-10,Anthony Chethan,1,1,0
33403,751,Aditya Criticare Pvt. Ltd.,2019-02-16,2024-10-26,,1,0,1
33417,2742,RV Kani Lab,2022-08-01,2024-11-08,,3,3,0
33418,3773,Sharana Krupa Digital X-Ray Scanning Center,2024-08-31,2024-10-21,Sunil,4,4,0
33457,3483,Skyline Medicos and Diagnostics Center ,2023-12-06,2024-11-01,,1,1,0
33508,2193,Grand CT Scans,2021-09-15,2024-11-01,,6,6,0
33518,2406,Patna Diagnostic Center,2021-12-09,2024-10-18,Joel Elijah,7,7,0
33587,3589,Myo Healthcare,2024-02-29,2024-11-06,Mahesh Kumar G,2,2,0
33591,2843,Manav Seva Akshar Advance Imaging Centre,2024-09-15,2024-10-22,Anamika Kumari and Nikhil Hugar,2,1,1
33595,1892,Goalpara Sonoscan Centre,2021-05-05,2024-10-19,,1,1,0
33626,568,Life Support Diagnostics Centre,2019-06-28,2024-11-02,,2,2,0
33637,3704,Neuberg Supratech Inspire Diagnostics LLP - Raipur,2024-07-09,2024-11-03,Mahesh Salian,7,6,1
33644,1037,Jupiter Lifeline Hospital,2019-05-22,2024-10-16,,1,0,1
33656,1718,Sonoscan Healthcare Pvt. Ltd. -  U2,2021-03-02,2024-11-08,,14,14,0
33677,1146,Alurwar Diagnostic Center,2019-05-25,2024-11-05,,3,1,2
33682,3733,A R Diagnostics,2024-08-22,2024-10-17,Joel Elijah,3,3,0
33712,3549,Neuberg Ehrlich Laboratory Pvt Ltd Puducherry,2024-01-31,2024-11-01,Vaishak Shivadasan,2,2,0
33761,2902,Shree Clinical Laboratory,2024-05-16,2024-11-02,Joel Elijah,1,1,0
33772,3483,Skyline Medicos and Diagnostics Center ,2023-12-06,2024-11-10,,1,1,0
33775,3804,Sono Lab  & Imaging Centre Udaipur,2024-09-06,2024-10-22,Mahesh Salian,2,2,0
33819,2839,Eskag Sanjeevani Multispecialty Hospital - Baranagar,2022-11-11,2024-10-16,,7,7,0
33852,1094,Sarvoday Hospital,2019-02-09,2024-10-25,,1,0,1
33902,1372,Ebisu Diagnostics - Dasarhalli,2020-06-06,2024-10-15,,1,0,1
33917,3777,Roy X-Ray Clinic,2024-08-21,2024-10-19,Sandipan Das and Mukta Nandi,1,0,1
33942,12,Mahadev Multispeciality Hospital,2018-10-29,2024-10-22,,5,3,2
33962,3622,Solace A Comprehensive Health Zone,2024-03-28,2024-11-05,Mahesh Salian,1,1,0
34000,2370,A to Z Multispeciality Hospital,2021-11-26,2024-11-06,,1,1,0
34046,2856,Sattva Diagnostics,2022-12-07,2024-10-14,,7,7,0
34048,2730,GNRC Hospital - Sixmile,2022-07-20,2024-10-29,,1,1,0
34056,3701,Krishna Imaging And Diagnostics - Karimnagar,2024-06-26,2024-10-27,Mahesh Kumar G,2,1,1
34144,3672,Rajanna CT Scan Center - Sircilla,2024-07-25,2024-11-01,Mahesh Salian,5,5,0
34146,2927,Revive Clinic & Diagnostic Affair,2023-02-14,2024-11-01,,1,1,0
34162,432,Preciise Diagnostics,2017-03-20,2024-11-02,,1,1,0
34171,2341,Mara scans & Labs,2021-11-15,2024-10-29,,1,1,0
34174,757,Utkarsh Scan Centre,2019-02-23,2024-10-20,Amith,7,6,1
34194,521,Rahul CT Scan Centre,2019-02-07,2024-11-09,,1,0,1
34212,1645,Erode Emergency Care Hospital,2021-01-16,2024-10-31,,5,5,0
34216,2404,Surya Diagnostics Centre,2021-12-08,2024-10-20,,3,3,0
34218,3653,The Bio Clinical Laboratory,2024-04-25,2024-11-01,Anthony Chethan,9,9,0
34289,2459,Agarwal Nursing Home,2022-01-03,2024-10-18,,9,9,0
34290,3590,Dr. Yogesh Dongre’s MegaScan Imaging Centre,2024-02-29,2024-10-22,Amith,2,2,0
34292,3834,Medray Evo,2024-09-30,2024-11-09,,3,3,0
34356,3131,Eskag Sanjeevani Pvt. Ltd. (Super Specialty Hospital - Balurghat),2023-05-22,2024-10-31,5C Admin (Amith),7,1,6
34389,3679,Malleshwara Scanning & Diagnostic Centre - Kadur,2024-06-03,2024-10-26,Joel Elijah,1,0,1
34403,1597,DMR Polyclinic,2020-12-10,2024-10-30,,1,1,0
34431,1554,Satyam Diagnostic Center - Dhanapur,2020-11-11,2024-10-16,,1,1,0
34448,2160,VK Medical Centre,2021-09-02,2024-11-06,Amith,2,2,0
34460,2607,Subuhani Diagnostic Center,2022-05-10,2024-11-02,,2,2,0
34486,3810,Pratham MRI And CT Scan Centre,2024-09-12,2024-10-12,Anamika Kumari and Nikhil Hugar,1,1,0
34499,3255,Padiyath Medicity Hospital,2023-07-05,2024-11-07,Mahesh Salien,2,1,1
34518,2733,Sri Srinivasa  Multi Speciality  Hospital,2022-07-21,2024-10-25,,5,5,0
34543,3474,Hindusthan Hospital,2023-11-24,2024-10-20,Amith,2,2,0
34553,2831,RS Gaur Global Multispeciality Hospital Pvt.Ltd.,2022-11-07,2024-10-17,,5,5,0
34566,1435,Chaudhari Diagnostics,2020-08-14,2024-10-29,,1,1,0
34576,3269,Svastha Speciality Clinic & Diagnostic Centre,2023-08-02,2024-10-31,5C Admin (Vaishak),1,1,0
34620,1803,Global Diagnostics,2024-05-25,2024-10-14,Joel Elijah,2,2,0
34629,1778,Phoenix Medical Centre,2021-03-30,2024-11-06,,1,1,0
34645,1669,Suvidha Digital X-ray,2021-01-27,2024-10-30,,2,2,0
34664,3610,Radiant Diagnostic Centre Bhavnagar,2024-03-20,2024-10-14,Mahesh Salian,1,0,1
34676,1890,Narmada Apna Hospital,2021-05-05,2024-10-26,,13,9,4
34707,2459,Agarwal Nursing Home,2022-01-03,2024-11-04,,7,6,1
34793,2404,Surya Diagnostics Centre,2021-12-08,2024-10-21,,1,1,0
34856,2393,Camry Hospital,2021-12-02,2024-10-16,,1,1,0
34877,2420,Meditech Diagnostic Centre,2021-12-15,2024-10-29,,2,2,0
34887,2831,RS Gaur Global Multispeciality Hospital Pvt.Ltd.,2022-11-07,2024-10-16,,1,1,0
34935,2208,AR Raheman Multispecialty Hospital,2021-09-20,2024-10-26,,1,1,0
35007,3491,Mahisagar Imaging Center,2023-12-19,2024-10-29,Nikhil Hugar,1,0,1
35066,2839,Eskag Sanjeevani Multispecialty Hospital - Baranagar,2022-11-11,2024-11-02,,26,25,1
35146,12,Mahadev Multispeciality Hospital,2018-10-29,2024-10-23,,3,2,1
35172,2797,Aditya Diagnostics & Hospitals - U3,2022-10-07,2024-10-12,,1,1,0
35174,1697,Platinum Diagnostic Centre,2021-02-23,2024-11-06,,1,1,0
35193,1872,Kamalabai CT Scan,2021-04-26,2024-11-03,,1,1,0
35224,2980,Shanmuga Hospital Private Ltd.,2023-03-14,2024-11-02,,5,4,1
35235,1016,Sindhura Hospitals,2018-11-06,2024-11-02,,4,3,1
35263,3773,Sharana Krupa Digital X-Ray Scanning Center,2024-08-31,2024-10-13,Sunil,2,2,0
35274,2782,Apex Diagno Solution,2022-09-20,2024-10-24,,3,3,0
35298,3332,Saikrupa Clinic,2023-09-05,2024-11-10,Abhilash ,1,1,0
35302,2477,Bioscan Diagnostics,2022-01-15,2024-10-28,,2,1,1
35308,2160,VK Medical Centre,2021-09-02,2024-10-25,Amith,1,1,0
35321,1016,Sindhura Hospitals,2018-11-06,2024-11-07,,3,3,0
35338,1890,Narmada Apna Hospital,2021-05-05,2024-11-05,,5,3,2
35339,2577,Kamareddy MRI & Diagnostic Centre,2022-04-18,2024-10-14,,7,5,2
35348,3829,Pooja Multislice CT Scan Centre,2024-09-26,2024-10-31,Deepak Yadav and Saravan Choudhary,1,1,0
35369,3293,San Camilo,2021-10-20,2024-10-23,Vaishak Shivadasan,26,22,4
35397,3269,Svastha Speciality Clinic & Diagnostic Centre,2023-08-02,2024-10-26,5C Admin (Vaishak),2,2,0
35401,255,JJ Digital X-ray Lab & ECG Services - Thambaram,2019-05-04,2024-10-29,,1,1,0
35446,3820,PCD Diagnostics LLP,2024-09-23,2024-10-23,Anamika Kumari and Nikhil Hugar,1,1,0
35473,2145,Anjali Pathology,2021-08-28,2024-10-29,,1,1,0
35490,1095,CSI HMH,2016-09-28,2024-10-26,,1,0,1
35498,3217,CRH ENT MRI And Diagnostics,2023-06-03,2024-10-29,5C Admin (Vaishak),2,2,0
35499,3843,Unique Sonography & Orthocare - Nashik,2024-10-05,2024-10-19,Anamika Kumari and Nikhil Hugar,7,7,0
35514,1146,Alurwar Diagnostic Center,2019-05-25,2024-10-17,,1,1,0
35568,939,Mandya Diagnostic Centre Private Ltd.Mandya,2019-06-26,2024-10-12,,1,1,0
35576,3687,Bhole Vighnaharta Multi Speciality Hospital Parola,2024-06-07,2024-10-31,Nikhil Hugar,1,1,0
35577,2764,Gayatri Pathology & X-ray Centre,2022-09-01,2024-10-19,,2,2,0
35579,2897,Adarsh Nursing Home,2024-06-24,2024-10-20,Rajendra Prasad,1,1,0
35598,1037,Jupiter Lifeline Hospital,2019-05-22,2024-11-06,,1,1,0
35601,1223,Pinarc Health Imaging CT Scan Centre,2024-05-22,2024-10-21,Nikhil Hugar,3,0,3
35623,106,Focus Diagnostics Center - Rajajinagar,2017-05-01,2024-10-13,,7,6,1
35625,1778,Phoenix Medical Centre,2021-03-30,2024-11-02,,1,1,0
35682,1551,Public Labs,2020-11-10,2024-10-19,,1,1,0
35726,2064,Fortune Medcare Hospital,2021-08-11,2024-11-03,,1,1,0
35748,3322,Insight Medical Diagnostic,2023-08-28,2024-10-25,Nikhil Hugar,5,4,1
35799,3316,Advanced Diagnostic  Centre Unit - 1,2023-08-22,2024-10-23,,27,26,1
35918,3005,Cosmos Health Care,2023-03-30,2024-11-08,5C Admin (Sathish),1,0,1
35941,3752,Padmashree Hospital,2024-08-07,2024-10-31,Apoorv L Salehittal,1,1,0
35944,2980,Shanmuga Hospital Private Ltd.,2023-03-14,2024-11-06,,3,2,1
35965,3804,Sono Lab  & Imaging Centre Udaipur,2024-09-06,2024-10-19,Mahesh Salian,1,1,0
35971,15,Madhubani Medical College & Hospital,2020-04-28,2024-11-02,,1,1,0
36031,3829,Pooja Multislice CT Scan Centre,2024-09-26,2024-10-26,Deepak Yadav and Saravan Choudhary,3,3,0
36056,3444,Dharamsheela Devi Multispeciality Hospital,2023-10-19,2024-10-21,Mahesh  Salian,1,0,1
36079,2587,CK Medical Center Hospital,2022-04-28,2024-11-02,,2,2,0
36102,3747,BELS Hospital,2024-08-03,2024-10-24,Mahesh Salian,1,1,0
36117,3844,Bhardwaj Hospital - Himachal Pradesh,2024-10-05,2024-10-22,Anil Kumar and Saravan Choudhary,1,1,0
36119,2587,CK Medical Center Hospital,2022-04-28,2024-11-07,,1,1,0
36121,1013,Annai Medical Centre,2018-10-05,2024-10-27,,2,0,2
36146,2856,Sattva Diagnostics,2022-12-07,2024-10-20,,1,1,0
36172,1942,Sun X-ray - Varanasi,2021-06-10,2024-10-19,,1,1,0
36373,3005,Cosmos Health Care,2023-03-30,2024-10-30,5C Admin (Sathish),3,2,1
36390,15,Madhubani Medical College & Hospital,2020-04-28,2024-10-16,,1,0,1
36395,3846,Pentaone Healthcare - Cuttack,2024-10-07,2024-10-21,Abhisankar Biswal and Mukta Nandi,1,1,0
36397,2027,Taraiya Digital X-ray,2021-07-30,2024-10-15,,1,1,0
36446,106,Focus Diagnostics Center - Rajajinagar,2017-05-01,2024-10-17,,1,1,0
36482,2639,Affiniti Scan Center,2022-05-27,2024-10-17,,2,2,0
36543,2803,Sri Banadeshwara HI-Tech Lab & Scanning Center,2022-10-12,2024-11-04,,1,1,0
36552,618,Lotus Diagnostic - AS,2020-02-10,2024-10-17,,2,2,0
36696,1597,DMR Polyclinic,2020-12-10,2024-10-26,,1,1,0
